sport,casa de apostes,equipo1,equipo2,cuota1,cuotaX,cuota2,lliga
Futbol,Interwetten,Vitoria Setubal,Pacos Ferreira,3.3,3.1,2.2,Portugal
Futbol,Interwetten,Benfica Lissabon,Boavista Porto,1.4,4.3,7.5,Portugal
Futbol,Interwetten,Estoril,Belenenses,3.75,3.2,2.0,Portugal
Futbol,Interwetten,Vitoria Guimaraes,Sporting Braga,3.75,3.2,2.0,Portugal
Futbol,Interwetten,Moreirense,Desportivo Chaves,3.3,3.1,2.2,Portugal
Futbol,Interwetten,Aves,Maritimo Funchal,3.45,3.15,2.1,Portugal
Futbol,Interwetten,CD Tondela,Sporting Lissabon,15.0,7.0,1.15,Portugal
Futbol,Interwetten,FC Porto,Rio Ave,1.4,4.3,7.5,Portugal
Futbol,Interwetten,Feirense,Portimonense,3.3,3.1,2.2,Portugal
Futbol,Interwetten,CD Nacional,FC Porto,3.0,3.0,2.25,Portugal
Futbol,Interwetten,Famalicao,Covilha,3.2,3.0,2.15,Portugal
Futbol,Interwetten,Vitoria Guimaraes,Academica Viseu,3.6,3.1,2.0,Portugal
Futbol,Interwetten,Santa Clara,Gil Vicente,3.15,2.9,2.25,Portugal
Futbol,Interwetten,Penafiel,Real Sporte,2.55,3.0,2.6,Portugal
Futbol,Interwetten,Arouca,Varzim,2.8,2.9,2.45,Portugal
Futbol,Interwetten,AZ Alkmaar,Sparta Rotterdam,2.0,3.5,3.4,Holland
Futbol,Interwetten,Willem II,Roda Kerkrade,3.1,3.3,2.2,Holland
Futbol,Interwetten,Heracles,Zwolle,4.2,3.7,1.75,Holland
Futbol,Interwetten,Ajax Amsterdam,Den Haag,1.25,6.0,9.0,Holland
Futbol,Interwetten,Venlo,Vitesse Arnheim,5.0,3.9,1.6,Holland
Futbol,Interwetten,Heerenveen,Excelsior,2.1,3.4,3.2,Holland
Futbol,Interwetten,Groningen,NAC Breda,2.3,3.3,2.9,Holland
Futbol,Interwetten,FC Utrecht,FC Twente Enschede,2.0,3.5,3.4,Holland
Futbol,Interwetten,Feyenoord,PSV Eindhoven,3.2,3.4,2.1,Holland
Futbol,Interwetten,Volendam,Fortuna Sittard,2.45,3.4,2.45,Holland
Futbol,Interwetten,Jong Ajax Amsterdam,Helmond Sport,2.05,3.5,3.0,Holland
Futbol,Interwetten,Emmen,Nijmegen,4.05,3.8,1.65,Holland
Futbol,Interwetten,Cambuur,Go Ahead,2.5,3.25,2.45,Holland
Futbol,Interwetten,Graafschap,Jong FC Utrecht,1.6,3.9,4.45,Holland
Futbol,Interwetten,Jong PSV,Maastricht,3.75,3.55,1.8,Holland
Futbol,Interwetten,PSV Eindhoven,Waalwijk,2.45,3.35,2.5,Holland
Futbol,Interwetten,Den Bosch,Telstar,2.9,3.4,2.15,Holland
Futbol,Interwetten,Almere City FC,Dordrecht,2.1,3.5,2.95,Holland
Futbol,Interwetten,Mechelen,Club Brugge,9.0,5.0,1.3,Belgium
Futbol,Interwetten,FC Antwerpen,Lokeren,3.3,3.3,2.1,Belgium
Futbol,Interwetten,Genk,St. Truiden,2.2,3.3,3.1,Belgium
Futbol,Interwetten,Gent,Oostende,2.5,3.3,2.65,Belgium
Futbol,Interwetten,Anderlecht,Kortrijk,1.65,3.6,5.1,Belgium
Futbol,Interwetten,Waasland Beveren,Charleroi,5.6,3.9,1.55,Belgium
Futbol,Interwetten,Mouscron,Zulte Waregem,5.6,3.9,1.55,Belgium
Futbol,Interwetten,Standard Liege,Eupen,2.1,3.3,3.3,Belgium
Futbol,Interwetten,Antalyaspor,Kayserispor,2.75,3.3,2.4,Turkey
Futbol,Interwetten,Karabkspor,Akhisar Bld Spor,4.2,3.5,1.8,Turkey
Futbol,Interwetten,Trabzonspor,Istanbul Basaksehir,4.2,3.5,1.8,Turkey
Futbol,Interwetten,Genclerbirligi,Gztepe AS,3.6,3.3,2.0,Turkey
Futbol,Interwetten,Kasimpasaspor,Galatasaray,9.0,5.0,1.3,Turkey
Futbol,Interwetten,Sivasspor,Osmanlispor,4.2,3.5,1.8,Turkey
Futbol,Interwetten,Fenerbahce,Alanyaspor,2.0,3.3,3.6,Turkey
Futbol,Interwetten,Konyaspor,Besiktas,7.3,4.4,1.4,Turkey
Futbol,Interwetten,Gaziantep Bld Spor,Istanbulspor AS,2.55,2.95,2.5,Turkey
Futbol,Interwetten,Manisaspor,Adanaspor,4.05,3.4,1.7,Turkey
Futbol,Interwetten,Giresunspor,Denizlispor,2.2,3.2,2.75,Turkey
Futbol,Interwetten,Balikesirspor,Elazigspor,3.75,3.35,1.75,Turkey
Futbol,Interwetten,Ankaragc,Caykur Rizespor,6.0,4.7,1.35,Turkey
Futbol,Interwetten,Erzurum Buyuksehir Belediyesi Spor,Gaziantepspor,1.18,5.75,9.5,Turkey
Futbol,Interwetten,Skoda Xanthi FC,Levadiakos,3.25,2.85,2.4,Greece
Futbol,Interwetten,AEK Athen,Lamia,1.4,3.95,9.25,Greece
Futbol,Interwetten,Panetolikos,PAOK Thessaloniki,18.25,6.5,1.15,Greece
Futbol,Interwetten,Apollon Smirnis,Panathinaikos Athen,11.0,5.25,1.25,Greece
Futbol,Interwetten,AO Kassiopi,Platanias,5.5,3.25,1.7,Greece
Futbol,Interwetten,Panionios Athen,PAS Giannina,3.05,2.95,2.45,Greece
Futbol,Interwetten,Olympiakos Nikosia,Eth. Achnas,4.9,4.25,1.5,Cyprus
Futbol,Interwetten,Aris Lemesou,Alki Oroklinis,3.05,3.15,2.15,Cyprus
Futbol,Interwetten,Anorthosis,APOEL,7.75,4.3,1.35,Cyprus
Futbol,Interwetten,N.Salamina,Doxa K.,2.65,3.25,2.35,Cyprus
Futbol,Interwetten,Ermis Aradippou,Apollon Limassol LFC,9.0,4.8,1.25,Cyprus
Futbol,Interwetten,Dinamo Moscow,Arsenal Tula,2.65,2.9,2.6,Russia
Futbol,Interwetten,Spartak Moscow,FK Tosno,1.75,3.3,4.2,Russia
Futbol,Interwetten,Amkar Perm,FC Lokomotiv Moscow,7.0,3.5,1.45,Russia
Futbol,Interwetten,FK Rostov,CSKA Moscow,5.25,3.25,1.65,Russia
Futbol,Interwetten,Terek Groznyi,Energia Khabarovsk,1.95,2.95,3.8,Russia
Futbol,Interwetten,Ekaterinburg,Rubin Kazan,5.0,3.3,1.65,Russia
Futbol,Interwetten,Sevilla FC,Zenit St Petersburg,10.25,4.55,1.25,Russia
Futbol,Interwetten,Zenit St Petersburg,Luch-Energia Vladivostok,2.95,2.95,2.25,Russia
Futbol,Interwetten,Krasnoyarsk,Volga Olimpiets,1.9,3.15,3.55,Russia
Futbol,Interwetten,FK Tambov,FK Khimki,1.95,3.0,3.55,Russia
Futbol,Interwetten,Gazovik Orenburg,Volgar-Gazprom Astrahan,2.7,2.85,2.45,Russia
Futbol,Interwetten,Worenesch,FK Krasnodar,4.25,3.25,1.7,Russia
Futbol,Interwetten,Spartak Moscow,Tom Tomsk,2.4,3.0,2.6,Russia
Futbol,Interwetten,FC Sibir Novosibirsk,Shinnik Jaroslavl,3.45,3.0,1.95,Russia
Futbol,Interwetten,Rotor Volgograd,Avangard Kursk,4.2,3.1,1.75,Russia
Futbol,Interwetten,Kaliningrad,Samara,5.75,3.25,1.55,Russia
Futbol,Interwetten,FK Tyumen,Dynamo St Peter,3.55,3.1,1.9,Russia
Futbol,Interwetten,Odense Q,Silkeborg,2.45,3.1,2.65,Denmark
Futbol,Interwetten,Horsens,Snderjyske,3.95,3.4,1.75,Denmark
Futbol,Interwetten,FC Copenhagen,FC Helsingor,1.4,4.1,7.0,Denmark
Futbol,Interwetten,AGF Aarhus,Nordsjaelland,3.1,3.35,2.05,Denmark
Futbol,Interwetten,Lyngby,Randers,3.2,3.1,2.1,Denmark
Futbol,Interwetten,Hobro IK,FC Midtjylland,5.25,4.0,1.5,Denmark
Futbol,Interwetten,Aalborg,Brondby IF,6.0,4.05,1.45,Denmark
Futbol,Interwetten,Vendsyssel FF,Skive,1.75,3.5,3.95,Denmark
Futbol,Interwetten,Viborg,HB Koege,2.5,3.05,2.6,Denmark
Futbol,Interwetten,Thisted FC,Lolland,3.0,3.4,2.1,Denmark
Futbol,Interwetten,Fredericia,Vejle,3.25,3.35,2.0,Denmark
Futbol,Interwetten,FC Amager,Roskilde,3.65,3.4,1.85,Denmark
Futbol,Interwetten,Esbjerg,Brabrand,1.65,3.75,4.3,Denmark
Futbol,Interwetten,Norrkoping,Kalmar,2.85,3.3,2.5,Sweden
Futbol,Interwetten,Jonkopings Sodra IF,IFK Gothenburg,5.3,3.8,1.65,Sweden
Futbol,Interwetten,Ostersunds FK,IK Sirius,2.95,3.3,2.4,Sweden
Futbol,Interwetten,Hammarby,Malmo FF,6.5,4.2,1.5,Sweden
Futbol,Interwetten,Elfsborg,Haecken,4.1,3.5,1.9,Sweden
Futbol,Interwetten,Orebro SK,Djurgarden,7.5,4.8,1.4,Sweden
Futbol,Interwetten,Halmstad,AIK Stockholm,9.5,5.5,1.3,Sweden
Futbol,Interwetten,Sundsvall,Athletic FC United,2.85,3.3,2.5,Sweden
Futbol,Interwetten,Syrianska FC,Atvidaberg,3.05,3.45,2.1,Sweden
Futbol,Interwetten,Orgryte,Falkenberg,3.8,3.55,1.85,Sweden
Futbol,Interwetten,Brommapojkarna,Norrby IF,1.55,4.1,5.0,Sweden
Futbol,Interwetten,Trelleborg,Oesters,3.1,3.35,2.15,Sweden
Futbol,Interwetten,Dalkurd FF,Gefle,1.85,3.55,3.65,Sweden
Futbol,Interwetten,Degerfors IF,Vaernamo,3.45,3.45,1.95,Sweden
Futbol,Interwetten,Varbergs Bois FC,Helsingborgs IF,4.2,3.55,1.75,Sweden
Futbol,Interwetten,IK Frej,Gais Gteborg,3.45,3.35,2.0,Sweden
Futbol,Interwetten,Oskarshamns Aik,Kristianstads,2.85,3.55,2.15,Sweden
Futbol,Interwetten,Skvde AIK,Utsiktens BK,6.5,5.25,1.35,Sweden
Futbol,Interwetten,IK Oddevold,Angelholm,2.45,3.55,2.45,Sweden
Futbol,Interwetten,FK Karlskrona,Qviding FIF,2.05,3.6,3.0,Sweden
Futbol,Interwetten,Landskrona Bois,Mjallby Aif,2.25,3.65,2.65,Sweden
Futbol,Interwetten,Husqvarna FF,Ljungskile SK,3.25,3.7,1.9,Sweden
Futbol,Interwetten,Staal Jrpeland,Madla,2.65,4.4,1.9,Norway
Futbol,Interwetten,Jyvaskyla,Hifk,4.45,3.6,1.65,Finland
Futbol,Interwetten,HJK Helsinki,Ilves,1.9,3.35,3.55,Finland
Futbol,Interwetten,PS Kemi,IFK Mariehamn,5.5,3.6,1.55,Finland
Futbol,Interwetten,Kuopio PS,Vaasa,2.65,3.1,2.45,Finland
Futbol,Interwetten,Seinajoen JK,Rovaniemi,1.95,3.3,3.45,Finland
Futbol,Interwetten,FC Lahti,Inter Turku,2.65,3.05,2.45,Finland
Futbol,Interwetten,Inter Turku,FC Haka Valkeakoski,1.9,3.4,3.5,Finland
Futbol,Interwetten,FC Honka,Jaro FF,1.9,3.45,3.4,Finland
Futbol,Interwetten,IF Gnistan,KPV Kokkola,7.25,4.6,1.3,Finland
Futbol,Interwetten,OPS-jp,Eif,3.75,3.7,1.75,Finland
Futbol,Interwetten,Grankulla IFK,AC Oulu,5.5,4.35,1.45,Finland
Futbol,Interwetten,TPV Tampere,Nups,1.6,4.55,3.8,Finland
Futbol,Interwetten,Banik Ostrava,Dukla Praga,4.4,3.5,1.65,Czech
Futbol,Interwetten,Liberec,Brno,2.9,3.0,2.35,Czech
Futbol,Interwetten,Boleslav,Slovacko,2.4,3.05,2.7,Czech
Futbol,Interwetten,Sparta Prague,Slavia Prague,3.15,3.25,2.05,Czech
Futbol,Interwetten,Bohemians 1905,Teplice,4.7,3.25,1.7,Czech
Futbol,Interwetten,SK Sigma Olomouc,MFK Karvina,2.8,3.05,2.35,Czech
Futbol,Interwetten,Jihlava,Jablonec,6.5,4.0,1.4,Czech
Futbol,Interwetten,Zlin,Viktoria Plzen,7.75,4.3,1.35,Czech
Futbol,Interwetten,FC Vitkovice,FC Graffin Vlasim,4.95,3.55,1.55,Czech
Futbol,Interwetten,Opava,FK Trinec,2.35,3.05,2.65,Czech
Futbol,Interwetten,Hradec Kralove,Slovan Varnsdorf,2.1,3.1,3.0,Czech
Futbol,Interwetten,Banik Sokolov,Viktoria Zizkov,3.6,3.15,1.85,Czech
Futbol,Interwetten,SC Znojmo,FK Pardubice,3.2,3.05,2.05,Czech
Futbol,Interwetten,Usti nad Labem,Mas Taborsko,3.5,3.15,1.9,Czech
Futbol,Interwetten,FK Olympia Praha,Pribram,7.0,4.35,1.3,Czech
Futbol,Interwetten,Fotbal Frydek Mistek,Budweis,6.0,3.85,1.4,Czech
Futbol,Interwetten,Stal Dneprodzerzhinsk,Oleksandria,6.0,3.1,1.6,Ukraine
Futbol,Interwetten,FC Zirka Kirovohrad,Illichivec Mariupol,3.6,3.0,2.0,Ukraine
Futbol,Interwetten,Shakhtar Donetsk,Chernomorets Odessa,1.12,6.75,15.5,Ukraine
Futbol,Interwetten,W. Poltawa,Veres Rivne,2.2,2.85,3.2,Ukraine
Futbol,Interwetten,Karpaty Lviv,Zorya Lugansk,4.45,3.4,1.7,Ukraine
Futbol,Interwetten,Dynamo Kiev,Olimpik Donetsk,1.3,4.55,9.0,Ukraine
Futbol,Interwetten,MFK Ruzomberok,Slovan Bratislava,5.0,4.05,1.5,Slovakia
Futbol,Interwetten,FK Senica,MFK Zemplin Michalovce,4.5,3.45,1.65,Slovakia
Futbol,Interwetten,Trencin,MSK Zilina,4.05,3.4,1.75,Slovakia
Futbol,Interwetten,Spartak Trnava,FC Tatran Presov,2.1,3.2,3.1,Slovakia
Futbol,Interwetten,ZP Sport Podbrezova,Nitra,4.5,3.45,1.65,Slovakia
Futbol,Interwetten,Dunajska Streda,Zlate Moravce,2.4,3.2,2.6,Slovakia
Futbol,Interwetten,Mezokvesd Zsory,Puskas Akademia,4.4,3.4,1.65,Hungary
Futbol,Interwetten,Paksi FC,Diosgyor,4.25,3.35,1.7,Hungary
Futbol,Interwetten,Videoton,Vasas Budapest,1.8,3.35,3.6,Hungary
Futbol,Interwetten,Debrecen,Balmazujvaros Sport KFT,2.15,3.15,2.85,Hungary
Futbol,Interwetten,Ujpest Dozsa,Szombathelyi Haladas FC,2.3,3.15,2.65,Hungary
Futbol,Interwetten,Ferencvaros,Budapest Honved,2.8,3.05,2.25,Hungary
Futbol,Interwetten,ACS Sepsi,ACS Poli Timisoara,5.0,3.4,1.6,Romania
Futbol,Interwetten,CFR Cluj,Concordia Chiajna,1.55,3.6,5.25,Romania
Futbol,Interwetten,Viitorul Constanta,FC Astra Giurgiu,3.1,3.05,2.15,Romania
Futbol,Interwetten,CS Universitatea Craiova,ACS Sepsi,1.8,3.3,4.05,Romania
Futbol,Interwetten,CS Voluntari,CS Municipal Studentesc Iasi,2.95,3.0,2.3,Romania
Futbol,Interwetten,Dinamo Bucuresti,CS Universitatea Craiova,2.85,3.05,2.3,Romania
Futbol,Interwetten,CS Gaz Metan Medias,Steaua Bucharest,7.0,4.2,1.4,Romania
Futbol,Interwetten,ACS Poli Timisoara,CS Voluntari,3.0,3.1,2.2,Romania
Futbol,Interwetten,Concordia Chiajna,Dinamo Bucuresti,6.0,4.15,1.4,Romania
Futbol,Interwetten,FC Dunav Ruse,FC Vereya,2.6,3.2,2.3,Bulgaria
Futbol,Interwetten,Pirin Blagoevgrad,FC Vitosha Sofia,1.9,3.15,3.4,Bulgaria
Futbol,Interwetten,Botev Plovdiv,Ludogorets Razgrad,11.25,6.5,1.12,Bulgaria
Futbol,Interwetten,FK Septemvri Sofia,Levski Sofia,7.5,5.5,1.22,Bulgaria
Futbol,Interwetten,Slavia Sofia,Cherno More Varna,1.7,3.45,4.05,Bulgaria
Futbol,Interwetten,Slavia Sofia,Lok. Plovdiv,4.35,3.7,1.6,Bulgaria
Futbol,Interwetten,FC Minsk,FC Dinamo Minsk,7.25,4.0,1.4,Belarus
Futbol,Interwetten,FC Gomel,FC Vitebsk,3.7,3.25,1.9,Belarus
Futbol,Interwetten,Shakhter Soligorsk,Slavia Mozyr,1.22,5.0,9.75,Belarus
Futbol,Interwetten,Brest,FC Slutsk,2.9,3.1,2.25,Belarus
Futbol,Interwetten,BATE Borisov,Isloch,1.09,7.0,19.75,Belarus
Futbol,Interwetten,Zaglebie Lubin,Arka Gdynia,2.45,3.1,2.6,Poland
Futbol,Interwetten,Pogon,Wisla Plock,2.65,3.05,2.5,Poland
Futbol,Interwetten,Piast Gliwice,Wisla Krakow,4.1,3.45,1.75,Poland
Futbol,Interwetten,Cracovia Krakau,Legia Warsaw,7.0,4.35,1.35,Poland
Futbol,Interwetten,Kielce Korona,Lech Poznan,4.85,3.75,1.55,Poland
Futbol,Interwetten,WKS Slask Wroclaw,Gornik Zabrze,3.1,3.1,2.15,Poland
Futbol,Interwetten,Termalica Bruk Bet Nieciecza,Sandecja Nowy Sacz,2.6,3.0,2.55,Poland
Futbol,Interwetten,Jagiellonia Bialystok,Lechia Gdansk,3.3,3.1,2.05,Poland
Futbol,Interwetten,GKS Tychy 71,Ruch Chorzow,2.15,3.15,2.9,Poland
Futbol,Interwetten,Puszcza Niepolomnice,Bytovia Bytow,3.5,3.15,1.9,Poland
Futbol,Interwetten,Pogon Siedlce,Podbeskidzie Bielsko Biala,3.25,3.2,1.95,Poland
Futbol,Interwetten,Miedz Legnica,Stomil Olsztyn,1.95,3.2,3.25,Poland
Futbol,Interwetten,GKS Katowice,Stal Mielec,2.25,3.15,2.7,Poland
Futbol,Interwetten,Rakow Czestochowa,Chrobry Glogow,2.8,3.2,2.15,Poland
Futbol,Interwetten,MKS Chojniczanka Chojnice,Zaglebie Sosnowiec,2.85,3.2,2.15,Poland
Futbol,Interwetten,Odra Opole,Wigry Suwalki,2.75,3.2,2.2,Poland
Futbol,Interwetten,Olimpia Grudziadz,GKS Tychy 71,2.75,3.05,2.3,Poland
Futbol,Interwetten,Gornik Leczna,Ruch Chorzow,3.05,3.2,2.05,Poland
Futbol,Interwetten,NK Lokomotiva Zagreb,HNK Cibalia Vinkovci,2.1,3.2,3.15,Croatia
Futbol,Interwetten,Dinamo Zagreb,Inter Zapresic,1.22,4.9,10.75,Croatia
Futbol,Interwetten,NK Istra 1961,NK Rudes,2.8,3.0,2.35,Croatia
Futbol,Interwetten,WFC Osijek,NK Slaven Belupo,2.8,2.95,2.45,Croatia
Futbol,Interwetten,Rijeka,Hajduk Split,2.3,3.1,2.85,Croatia
Futbol,Interwetten,NK Krsko,NK Celje,3.2,3.0,2.05,Slovenia
Futbol,Interwetten,Ankaran Hrvatini Mas Tech,Aluminij,5.5,3.7,1.5,Slovenia
Futbol,Interwetten,Maribor,ND Gorica,2.05,3.0,3.2,Slovenia
Futbol,Interwetten,NK Rudar Velenje,Triglav Gorenjska,2.65,2.95,2.4,Slovenia
Futbol,Interwetten,NK Domzale,NK Olimpija Ljubljana,3.15,3.0,2.1,Slovenia
Futbol,Interwetten,FK Akzhayik Uralsk,FC Irtysh Pavlodar,5.25,3.75,1.55,Kazakhstan
Futbol,Interwetten,Ordabasy Shymkent,Tobol Kostanay,2.75,2.95,2.45,Kazakhstan
Futbol,Interwetten,Kairat Almaty,Taraz,1.25,4.6,9.5,Kazakhstan
Futbol,Interwetten,FC Aktobe,FK Atyrau,2.8,2.95,2.45,Kazakhstan
Futbol,Interwetten,TNS,Cardiff Met University,1.4,4.9,5.5,Wales
Futbol,Interwetten,Prestatyn Town,Newi Cefn Druids AFC,3.25,3.5,1.95,Wales
Futbol,Interwetten,Aberystwyth,Newtown,3.95,3.65,1.7,Wales
Futbol,Interwetten,GAP Connah'S Quay FC,Bangor City,2.3,3.35,2.7,Wales
Futbol,Interwetten,Carmarthen Town AFC,Bala Town,6.25,4.45,1.4,Wales
Futbol,Interwetten,Barry Town FC,Llandudno FC,3.85,3.65,1.75,Wales
Futbol,Interwetten,Vikingur Reykjavik,Breidablik,2.3,3.25,2.75,Iceland
Futbol,Interwetten,Valur,Ka Akureyri,1.95,3.45,3.25,Iceland
Futbol,Interwetten,Hafnarfjordur,Vikingur Reykjavik,2.05,3.3,3.15,Iceland
Futbol,Interwetten,IA Akranes,Fjlnir Reykjavik,4.4,3.95,1.6,Iceland
Futbol,Interwetten,Grindavik Umf,Vestmannaeyjar,3.5,3.5,1.85,Iceland
Futbol,Interwetten,Vikingur Olafsvk,Stjarnan,10.0,5.5,1.2,Iceland
Futbol,Interwetten,Leiknir Reykjavik,Thor Akureyri,3.0,3.6,2.0,Iceland
Futbol,Interwetten,Fylkir,Haukar Hafnafjrdur,1.75,3.45,3.85,Iceland
Futbol,Interwetten,Fram Reykjavik,Keflavik,5.0,4.05,1.5,Iceland
Futbol,Interwetten,UMF Selfoss,Throttur,4.0,3.75,1.7,Iceland
Futbol,Interwetten,HK Kopavogs,Grotta,1.4,4.35,6.0,Iceland
Futbol,Interwetten,Leiknir Faskruosfiroi,Vikingur Reykjavik,4.2,4.0,1.6,Iceland
Futbol,Interwetten,Orlando City SC,Atlanta United FC,5.5,4.35,1.5,MLS
Futbol,Interwetten,NSC Minnesota Stars,Montreal Impact,5.75,4.6,1.45,MLS
Futbol,Interwetten,New England,Sporting Kansas City,6.0,4.2,1.5,MLS
Futbol,Interwetten,New York City FC,Colorado Rapids,2.45,3.3,2.7,MLS
Futbol,Interwetten,Philadelphia Union,New York City FC,5.5,4.2,1.5,MLS
Futbol,Interwetten,Columbus Crew,Vancouver,3.4,3.6,2.0,MLS
Futbol,Interwetten,Seattle Sounders,FC Dallas,3.55,3.45,1.95,MLS
Futbol,Interwetten,Washington DC United,Chicago Fire,5.5,4.2,1.5,MLS
Futbol,Interwetten,Portland,Real Salt Lake,3.45,3.55,1.95,MLS
Futbol,Interwetten,Toronto FC,Los Angeles Galaxy,2.3,3.5,2.8,MLS
Futbol,Interwetten,CA Patronato,CA Tigre,4.65,3.2,1.7,Argentina
Futbol,Interwetten,Union De Santa Fe,Defensa y Justicia,4.6,3.1,1.75,Argentina
Futbol,Interwetten,Olimpo,Newells Old Boys,3.65,2.95,2.0,Argentina
Futbol,Interwetten,Lanus,CA Independiente,4.75,3.2,1.7,Argentina
Futbol,Interwetten,CA Chacarita Juniors,Atletico Tucuman,3.8,3.05,1.95,Argentina
Futbol,Interwetten,Godoy Cruz,Boca Juniors,7.5,4.25,1.35,Argentina
Futbol,Interwetten,Estudiantes,Colon Santa Fe,2.9,2.85,2.4,Argentina
Futbol,Interwetten,Arsenal de Sarandi,San Lorenzo,4.35,3.35,1.7,Argentina
Futbol,Interwetten,Velez Sarsfield,CA Talleres,3.8,3.1,1.9,Argentina
Futbol,Interwetten,Racing Club,Banfield,3.65,3.15,1.95,Argentina
Futbol,Interwetten,River Plate,San Martin de San Juan,2.15,3.0,3.25,Argentina
Futbol,Interwetten,Santos,Botafogo RJ,3.0,3.1,2.35,Brazil
Futbol,Interwetten,Atletico Mineiro MG,Avai,2.15,3.2,3.25,Brazil
Futbol,Interwetten,Vasco da Gama,Corinthians,6.5,3.7,1.55,Brazil
Futbol,Interwetten,Sport Recife,Flamengo,7.5,4.2,1.4,Brazil
Futbol,Interwetten,Bahia Salvador BA,Cruzeiro,6.5,3.7,1.55,Brazil
Futbol,Interwetten,Atletico Goianiense,Ponte Preta,6.0,3.8,1.55,Brazil
Futbol,Interwetten,Chapecoense SC,Gremio,7.25,4.05,1.45,Brazil
Futbol,Interwetten,Sao Paulo SP,CD Vitoria,2.65,3.2,2.55,Brazil
Futbol,Interwetten,Fluminense,Atletico Paranaense,3.75,3.3,1.95,Brazil
Futbol,Interwetten,Coritiba,Palmeiras,7.5,4.5,1.4,Brazil
Futbol,Interwetten,Luverdense MT,Vila Nova,4.6,3.25,1.7,Brazil
Futbol,Interwetten,CRB AL,Desportivo Brasil SP,3.5,3.1,2.0,Brazil
Futbol,Interwetten,Figueirense,Internacional RS,10.25,4.65,1.25,Brazil
Futbol,Interwetten,CF America,Ceara,2.95,2.9,2.35,Brazil
Futbol,Interwetten,Nautico PE,Oeste SP,4.35,3.1,1.8,Brazil
Futbol,Interwetten,ABC RN,Paysandu,5.5,3.4,1.55,Brazil
Futbol,Interwetten,Londrina PR,CA Patronato,3.75,3.1,1.9,Brazil
